customer_ID,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
AB1264,68.95,35,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,3/27/2016 0:53,0
AB1265,80.23,31,68441.85,193.77,Monitored national standardization,West Jodi,1,Nauru,4/4/2016 1:39,0
AB1266,69.47,26,59785.94,236.5,Organic bottom-line service-desk,Davidton,0,San Marino,3/13/2016 20:35,0
AB1267,74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,1/10/2016 2:31,0
AB1268,68.37,35,73889.99,225.58,Robust logistical utilization,South Manuel,0,Iceland,6/3/2016 3:36,0
AB1269,59.99,23,59761.56,226.74,Sharable client-driven software,Jamieberg,1,Norway,5/19/2016 14:30,0
AB1270,88.91,33,53852.85,208.36,Enhanced dedicated support,Brandonstad,0,Myanmar,1/28/2016 20:59,0
AB1271,66,48,24593.33,131.76,Reactive local challenge,Port Jefferybury,1,Australia,3/7/2016 1:40,1
AB1272,74.53,30,68862,221.51,Configurable coherent function,West Colin,1,Grenada,4/18/2016 9:33,0
AB1273,69.88,20,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,1,Ghana,7/11/2016 1:42,0
AB1274,47.64,49,45632.51,122.02,Centralized neutral neural-net,West Brandonton,0,Qatar,3/16/2016 20:19,1
AB1275,83.07,37,62491.01,230.87,Team-oriented grid-enabled Local Area Network,East Theresashire,1,Burundi,5/8/2016 8:10,0
AB1276,69.57,48,51636.92,113.12,Centralized content-based focus group,West Katiefurt,1,Egypt,6/3/2016 1:14,1
AB1277,79.52,24,51739.63,214.23,Synergistic fresh-thinking array,North Tara,0,Bosnia and Herzegovina,4/20/2016 21:49,0
AB1278,42.95,33,30976,143.56,Grass-roots coherent extranet,West William,0,Barbados,3/24/2016 9:31,1
AB1279,63.45,23,52182.23,140.64,Persistent demand-driven interface,New Travistown,1,Spain,3/9/2016 3:41,1
AB1280,55.39,37,23936.86,129.41,Customizable multi-tasking website,West Dylanberg,0,Palestinian Territory,1/30/2016 19:20,1
AB1281,82.03,41,71511.08,187.53,Intuitive dynamic attitude,Pruittmouth,0,Afghanistan,5/2/2016 7:00,0
AB1282,54.7,36,31087.54,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),2/13/2016 7:53,1
